num;grd;slc;ocn;raw
19;S1A_IW_GRDH_1SDV_20200403T054836_20200403T054901_031959_03B0CA_B9A4;S1A_IW_SLC__1SDV_20200403T054834_20200403T054901_031959_03B0CA_FD46;S1A_IW_OCN__2SDV_20200403T054836_20200403T054901_031959_03B0CA_C9C0;S1A_IW_RAW__0SDV_20200403T054832_20200403T054904_031959_03B0CA_9667
20;S1A_IW_GRDH_1SDV_20200414T174432_20200414T174457_032127_03B6BD_C3BA;S1A_IW_SLC__1SDV_20200414T174431_20200414T174458_032127_03B6BD_BBB0;S1A_IW_OCN__2SDV_20200414T174432_20200414T174457_032127_03B6BD_4EE7;S1A_IW_RAW__0SDV_20200414T174428_20200414T174500_032127_03B6BD_8DA9
21;S1A_IW_GRDH_1SDV_20200427T054836_20200427T054901_032309_03BD1A_2692;S1A_IW_SLC__1SDV_20200427T054835_20200427T054902_032309_03BD1A_0BE5;S1A_IW_OCN__2SDV_20200427T054836_20200427T054901_032309_03BD1A_F16F;S1A_IW_RAW__0SDV_20200427T054833_20200427T054905_032309_03BD1A_734E
22;S1A_IW_GRDH_1SDV_20200427T054901_20200427T054926_032309_03BD1A_006F;S1A_IW_SLC__1SDV_20200427T054900_20200427T054928_032309_03BD1A_6DE0;S1A_IW_OCN__2SDV_20200427T054901_20200427T054926_032309_03BD1A_A15A;S1A_IW_RAW__0SDV_20200427T054858_20200427T054930_032309_03BD1A_5221
23;S1A_IW_GRDH_1SDV_20200501T051927_20200501T051952_032367_03BF2F_4157;S1A_IW_SLC__1SDV_20200501T051926_20200501T051953_032367_03BF2F_45CD;S1A_IW_OCN__2SDV_20200501T051927_20200501T051952_032367_03BF2F_1A42;S1A_IW_RAW__0SDV_20200501T051924_20200501T051956_032367_03BF2F_38C7
24;S1A_IW_GRDH_1SDV_20200520T051117_20200520T051142_032644_03C7E8_CA25;S1A_IW_SLC__1SDV_20200520T051115_20200520T051142_032644_03C7E8_E2BE;S1A_IW_OCN__2SDV_20200520T051117_20200520T051142_032644_03C7E8_B26E;S1A_IW_RAW__0SDV_20200520T051113_20200520T051145_032644_03C7E8_3EEE
25;S1A_IW_GRDH_1SDV_20200522T050605_20200522T050630_032673_03C8C7_2055;S1A_IW_SLC__1SDV_20200522T050603_20200522T050631_032673_03C8C7_E420;S1A_IW_OCN__2SDV_20200522T050605_20200522T050630_032673_03C8C7_4AC5;S1A_IW_RAW__0SDV_20200522T050601_20200522T050633_032673_03C8C7_E7B3
26;S1A_IW_GRDH_1SDV_20200613T051118_20200613T051143_032994_03D25F_C80A;S1A_IW_SLC__1SDV_20200613T051117_20200613T051144_032994_03D25F_B3C5;S1A_IW_OCN__2SDV_20200613T051118_20200613T051143_032994_03D25F_FDB8;S1A_IW_RAW__0SDV_20200613T051114_20200613T051147_032994_03D25F_DCAC
27;S1A_IW_GRDH_1SDV_20200618T051930_20200618T051955_033067_03D4A2_4569;S1A_IW_SLC__1SDV_20200618T051929_20200618T051956_033067_03D4A2_167D;S1A_IW_OCN__2SDV_20200618T051930_20200618T051955_033067_03D4A2_2202;S1A_IW_RAW__0SDV_20200618T051926_20200618T051959_033067_03D4A2_E2AF
28;S1A_IW_GRDH_1SDV_20200731T051121_20200731T051146_033694_03E7BB_F7D2;S1A_IW_SLC__1SDV_20200731T051120_20200731T051147_033694_03E7BB_2AC0;S1A_IW_OCN__2SDV_20200731T051121_20200731T051146_033694_03E7BB_B0F3;S1A_IW_RAW__0SDV_20200731T051117_20200731T051150_033694_03E7BB_097F
29;S1A_IW_GRDH_1SDV_20200807T050321_20200807T050346_033796_03EB07_3170;S1A_IW_SLC__1SDV_20200807T050319_20200807T050346_033796_03EB07_85FB;S1A_IW_OCN__2SDV_20200807T050321_20200807T050346_033796_03EB07_AA5E;S1A_IW_RAW__0SDV_20200807T050317_20200807T050349_033796_03EB07_FD58
30;S1A_IW_GRDH_1SDV_20200831T051420_20200831T051445_034146_03F756_6D5E;S1A_IW_SLC__1SDV_20200831T051418_20200831T051446_034146_03F756_2E58;S1A_IW_OCN__2SDV_20200831T051420_20200831T051445_034146_03F756_CC92;S1A_IW_RAW__0SDV_20200831T051416_20200831T051448_034146_03F756_9A2E
31;S1A_IW_GRDH_1SDV_20200904T171759_20200904T171831_034212_03F991_B096;S1A_IW_SLC__1SDV_20200904T171758_20200904T171831_034212_03F991_8544;S1A_IW_OCN__2SDV_20200904T171759_20200904T171831_034212_03F991_9665;S1A_IW_RAW__0SDV_20200904T171755_20200904T171830_034212_03F991_20F6
32;S1A_IW_GRDH_1SDV_20200907T050726_20200907T050751_034248_03FAD3_34CA;S1A_IW_SLC__1SDV_20200907T050725_20200907T050752_034248_03FAD3_1672;S1A_IW_OCN__2SDV_20200907T050726_20200907T050751_034248_03FAD3_AFAE;S1A_IW_RAW__0SDV_20200907T050722_20200907T050755_034248_03FAD3_E661
